GO:0000034~adenine deaminase activity	add,
GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity	pcm,BPSL2525,rsmA,
GO:0000250~lanosterol synthase activity	shc,
GO:0000286~alanine dehydrogenase activity	ald,
GO:0000287~magnesium ion binding	BPSS2320,BPSS2266,ackA,BPSS1879,dxs,leuB,purF,poxB,rspA,thiM,BPSS0902,BPSS0609,BPSS0508,BPSS0414,selD,prpB,pyk,BPSS0011,ilvG,pyrE,rpoC,aroK,thiE,hisI,trpD,murE,obg,thiL,ruvC,glnE,ribB,fbp,rne,acpS,pdxY,BPSL2345,dinB,lysS,eno,uppS,BPSL1995,pheS,pheT,purA,gcl,selO,glmM,rnhA,recB,pnp,ilvC,ilvI,kdpB,upp,purT,ppa,ppc,dut,icd,BPSL0842,pykA,sucC,BPSL0724,pdxA,hprK,prs,bioD,ttcA,glmU,cca,srkA,metK,queE,
GO:0000701~purine-specific mismatch base pair DNA N-glycosylase activity	mutY,
GO:0000774~adenyl-nucleotide exchange factor activity	grpE,
GO:0000906~6,7-dimethyl-8-ribityllumazine synthase activity	ribH,
GO:0000908~taurine dioxygenase activity	tauD,BPSS1165,
GO:0001216~DNA-binding transcription activator activity	rpoN,
GO:0001530~lipopolysaccharide binding	lptA,
GO:0001671~ATPase activator activity	hscB,
GO:0002083~4-hydroxybenzoate decaprenyltransferase activity	ubiA,
GO:0002161~aminoacyl-tRNA editing activity	BPSS1799,ileS2,BPSS1046,proS,leuS,dtd,valS,ileS1,BPSL0865,BPSL0332,
GO:0002935~tRNA (adenine-C2-)-methyltransferase activity	rlmN,
GO:0002953~5'-deoxynucleotidase activity	BPSS0634,
GO:0003676~nucleic acid binding	BPSS2148,polA,BPSS1698,cspD,BPSS1317,BPSS1291,BPSS1077,BPSS0856,BPSS0855,BPSS0407,BPSS0402,dbpA,BPSS0070,priA,BPSL3278,BPSL3274,recQ,rpsC,rpsM,BPSL3118,BPSL3117,BPSL3086,prmC,ruvC,BPSL2882,recG,cspA,BPSL2556,rpsA,orn,rne,lysS,BPSL2279,BPSL2187,prmB,rnhB,mfd,alaS,nusA,rnr,BPSL1657,BPSL1530,tex,BPSL1506,rho,rnhA,dnaQ,pnp,BPSL1181,cafA,BPSL1145,dnaE,rhlE2,BPSL0948,BPSL0946,BPSL0943,BPSL0898,xseA,BPSL0764,rhlE1,aspS,mutM,BPSL0515,BPSL0157,BPSL0090,BPSL0042,
GO:0003677~DNA binding	fur,pmlR,rpoS,bpeR,hupA,irlR,BPSS2350,BPSS2347,BPSS2315,BPSS2291,BPSS2249,rpoN,ku,BPSS2211,BPSS2204,BPSS2199,BPSS2172,BPSS2158,BPSS2148a,BPSS2142,BPSS2132,BPSS2131,BPSS2127,BPSS2090,BPSS2087,BPSS2079,BPSS2073,BPSS2051,BPSS2028,BPSS2005,irlR2,BPSS1981,BPSS1967,BPSS1935,BPSS1917,BPSS1899,BPSS1841,BPSS1804,polA,dnaG,rpoD,BPSS1721,BPSS1710,BPSS1698,BPSS1680,BPSS1604,hipB,BPSS1569,BPSS1564,BPSS1553,bprA,BPSS1522,BPSS1519,BPSS1494,BPSS1483,BPSS1477,BPSS1474,BPSS1472,BPSS1471,BPSS1461,BPSS1449,BPSS1414,betI,BPSS1343,BPSS1328,lrp,BPSS1299,BPSS1278a,BPSS1275,BPSS1214,BPSS1209,BPSS1176,BPSS1163,BPSS1161,BPSS1131,BPSS1091,BPSS1077,BPSS1066,BPSS1061,BPSS1047,BPSS1027,BPSS1022,BPSS0971,BPSS0934,BPSS0929,BPSS0918,BPSS0912,BPSS0900,BPSS0892,BPSS0880,BPSS0867,BPSS0856,BPSS0846,msr0960,BPSS0835,BPSS0830,BPSS0806,BPSS0800,BPSS0797,BPSS0796A,BPSS0785,BPSS0770,BPSS0765,BPSS0760,BPSS0749,BPSS0738,BPSS0730,BPSS0718,BPSS0705,BPSS0691,BPSS0688,BPSS0676,BPSS0675,BPSS0664,BPSS0644,BPSS0643,BPSS0630,BPSS0616,BPSS0544,BPSS0472,BPSS0452,tnpR,BPSS0383,BPSS0381,BPSS0380,BPSS0378,uvrB,BPSS0351,BPSS0338,BPSS0320,BPSS0312,BPSS0296,BPSS0284,BPSS0274,BPSS0273,BPSS0253,prpR,BPSS0125,BPSS0124,BPSS0119,BPSS0077A,BPSS0073,BPSS0070,dctD,BPSS0060B,uvrA,BPSS0057,BPSS0031,BPSS0008,BPSS0004,BPSS0002,BPSL3426,BPSL3423,BPSL3405,priA,putA,BPSL3385,BPSL3379,rep,BPSL3344,BPSL3313,flhD,flhC,fliA,BPSL3281,BPSL3279,BPSL3260,BPSL3257,BPSL3238,BPSL3236,rpoB,rpoC,recQ,rpoA,BPSL3160,BPSL3118,BPSL3115,BPSL3083,mraZ,hctB,BPSL2972,cynS,BPSL2947,BPSL2936,BPSL2908,ruvB,ruvA,fis,phnF,hrcA,hslR,nrdR,BPSL2746,BPSL2709,glk,BPSL2604,BPSL2602,BPSL2586,rpoZ,greB,BPSL2556,gyrA,ihfB,BPSL2508,BPSL2475,BPSL2474,rpoE,uvrC,BPSL2376,BPSL2365,BPSL2347,BPSL2343,glnG,BPSL2315,BPSL2314,dinB,BPSL2303,BPSL2295,mutS,BPSL2211,radA,BPSL2176,smc,ligA,BPSL2121,mfd,ompR,BPSL2084,BPSL2068,BPSL2065,BPSL2060,BPSL2035,BPSL2024,BPSL1985,BPSL1979,BPSL1956,ihfA,BPSL1938,BPSL1887,BPSL1882,BPSL1870,lexA,BPSL1831,amrR,BPSL1787,BPSL1706,BPSL1704,BPSL1702,BPSL1696,BPSL1695,BPSL1686,BPSL1675,BPSL1669,BPSL1658a,BPSL1653,BPSL1642,BPSL1636,BPSL1633,BPSL1599,BPSL1588,BPSL1578,BPSL1569,BPSL1565,BPSL1564,BPSL1562,BPSL1512,recR,BPSL1499,dnaX,BPSL1494,BPSL1487,BPSL1483,dnaB,priB,BPSL1456,BPSL1398,phoB,greA,BPSL1348,dnaQ,BPSL1311,BPSL1304,recD,recB,recC,BPSL1275,BPSL1269,BPSL1249,BPSL1245,BPSL1195,BPSL1188,kdpE,BPSL1165,BPSL1157,BPSL1147,BPSL1130,BPSL1109,BPSL1105,nth,parC,parE,uup,BPSL1036,BPSL1011,BPSL0966,BPSL0949,BPSL0948,BPSL0947,BPSL0945,BPSL0944,BPSL0938,BPSL0891,BPSL0883,xerD,BPSL0849,BPSL0806,BPSL0775,BPSL0772,BPSL0756,BPSL0744,BPSL0734,glpR,BPSL0677,BPSL0647,BPSL0617,BPSL0616,BPSL0609,BPSL0596,BPSL0587,BPSL0577,BPSL0576,BPSL0562,BPSL0558,BPSL0553,BPSL0549A,ssb,mutY,mutM,rpoH,BPSL0495,BPSL0432,BPSL0389,BPSL0340,BPSL0330,BPSL0322,BPSL0239,xerC,BPSL0198,BPSL0174,BPSL0169,BPSL0157,BPSL0141,BPSL0139,BPSL0130,int,BPSL0118,BPSL0103,BPSL0100,BPSL0091,BPSL0087,intA,BPSL0079,dnaA,dnaN,gyrB,BPSL0070,BPSL0043,BPSL0042,BPSL0040,BPSL0033,recA,
GO:0003678~DNA helicase activity	BPSS0934,BPSS0856,priA,rep,recQ,ruvB,ruvA,recG,BPSL1979,dnaB,recD,recB,recC,
GO:0003684~damaged DNA binding	dinB,mutS,radA,mfd,mutM,recA,
GO:0003688~DNA replication origin binding	dnaA,
GO:0003690~double-stranded DNA binding	ku,BPSL2290,
GO:0003697~single-stranded DNA binding	rep,priB,ssb,recA,
GO:0003700~DNA-binding transcription factor activity	fur,BPSS1424,BPSS0546,rpoS,BPSS0435,oxyR,pchR,BPSL2195,BPSS2347,BPSS2276,BPSS2207,BPSS2204,BPSS2177,BPSS2146,BPSS2124,BPSS2118,BPSS2117,BPSS2115,BPSS2073,BPSS2017,BPSS1966,BPSS1908,BPSS1902,BPSS1900,BPSS1899,BPSS1890,BPSS1889,BPSS1866A,BPSS1864,BPSS1858,BPSS1841,BPSS1824,BPSS1816,BPSS1803,BPSS1792,modE,BPSS1781,rpoD,BPSS1739,BPSS1721,BPSS1714,BPSS1643,BPSS1640,BPSS1610,BPSS1586,BPSS1559,BPSS1556,bsaN,BPSS1520,BPSS1477,BPSS1474,BPSS1469,BPSS1430,BPSS1414,BPSS1391,BPSS1371,betI,BPSS1339,BPSS1328,BPSS1322,BPSS1309,BPSS1299,BPSS1275,BPSS1255,BPSS1253,BPSS1237,BPSS1229,BPSS1200,BPSS1117,BPSS1027,BPSS1022,BPSS1020,BPSS1015,BPSS1013,BPSS0995,BPSS0970,BPSS0956,BPSS0948,BPSS0944,BPSS0920,BPSS0878,BPSS0872,BPSS0861,BPSS0772,BPSS0765,BPSS0755,BPSS0741,BPSS0726,BPSS0699,BPSS0691,BPSS0681,BPSS0648,BPSS0644,BPSS0616,BPSS0606,BPSS0565,BPSS0559,BPSS0505,BPSS0502,BPSS0449,BPSS0438,BPSS0436,BPSS0431,BPSS0365,BPSS0351,BPSS0336,BPSS0320,BPSS0296,BPSS0290,BPSS0282,BPSS0270,BPSS0246,BPSS0237,BPSS0217,BPSS0199,BPSS0187,BPSS0166,BPSS0155,BPSS0149,BPSS0134,BPSS0073,BPSS0066,BPSS0057,BPSS0041,BPSS0031,BPSS0030,BPSS0012,BPSL3431,BPSL3421,putA,BPSL3379,BPSL3368,fliA,BPSL3250,BPSL3064,mraZ,cynR,BPSL2947,BPSL2933,BPSL2926,BPSL2908,BPSL2884,phnF,BPSL2782,BPSL2733,BPSL2731,BPSL2720,glk,metR,BPSL2527,BPSL2471,rpoE,BPSL2417,BPSL2391,BPSL2343,BPSL2330,BPSL2290,BPSL2190,BPSL2121,BPSL2111,BPSL2083,BPSL2069,BPSL2032,BPSL2008,BPSL1990,BPSL1971,BPSL1950,BPSL1923,nusA,BPSL1912,BPSL1870,cbl,BPSL1794,BPSL1787,BPSL1752,BPSL1750,BPSL1748,BPSL1729,BPSL1695,BPSL1686,BPSL1680,BPSL1653,BPSL1642,BPSL1572,BPSL1456,BPSL1453,BPSL1400,BPSL1348,BPSL1326,BPSL1321,BPSL1315,BPSL1310,BPSL1249,BPSL1195,BPSL1130,BPSL1086,BPSL1074,BPSL1072,ilvR,BPSL0955,BPSL0939,BPSL0933,BPSL0932,BPSL0891,BPSL0841,BPSL0835,BPSL0819,BPSL0731,glpR,BPSL0675,BPSL0629,BPSL0626,rpoH,BPSL0495,BPSL0494,BPSL0418,BPSL0411,BPSL0378,BPSL0327,BPSL0283,BPSL0260,BPSL0193,BPSL0117,BPSL0107,BPSL0103,BPSL0100,BPSL0070,BPSL0060,BPSL0045,BPSL0023,BPSL0021,
GO:0003723~RNA binding	truA,selB,BPSS1317,BPSS1246,BPSS1092,BPSS0627,rlmJ,rplK,rplA,rplJ,rpsL,rpsG,rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpsQ,rplN,rplX,rplE,rpsN,rpsH,rplF,rplR,rpsE,rplO,infA2,rpsM,rpsK,rpsD,ettA,proB,ffh,BPSL2977,BPSL2958,tyrS,dtd,dusB,mnmA,BPSL2882,hslR,pcnB,nusB,rph,rpsA,rsgA,BPSL2467,rne,rluC,rnc,era,trmJ,BPSL2162,rnhB,BPSL2144,smpB,alaS,thrS,rplT,pheT,BPSL1921,nusA,truB,typA,hfq,rnr,rlmB,dusA,BPSL1532,rlmD,rho,rplI,rpsR,rpsF,BPSL1354,pnp,rpsO,BPSL1181,cafA,infA1,metG,BPSL0930,BPSL0909,BPSL0895,rpsT,rsmA,rplY,trmL,ttcA,cca,BPSL0207,sun,rnpA,rplU,
GO:0003724~RNA helicase activity	dbpA,BPSL2324,BPSL2187,rhlE2,rhlE1,
GO:0003725~double-stranded RNA binding	BPSL2262,BPSL0802,
GO:0003727~single-stranded RNA binding	hslR,
GO:0003729~mRNA binding	BPSS0390,rpsC,
GO:0003735~structural constituent of ribosome	rpsU1,rpsU3,rpsU2,rplK,rplA,rplL,rpsL,rpsG,rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ,rplN,rplX,rplE,rpsN,rpsH,rplF,rplR,rpsE,rpmD,rplO,rpmJ,rpsM,rpsK,rpsD,rplQ,rplM,rpsI,rpsA,rpsP,rplS,rpmF,rpsB,rpmI,rplT,rpmE2,rplI,rpsR,rpsF,rpsO,rpmB,rpmG,rpsT,rplY,rpmH,rpmA,rplU,
GO:0003743~translation initiation factor activity	infA2,infC,infB,infA1,
GO:0003746~translation elongation factor activity	selB,BPSS0880,tuf1,fusA2,greB,lepA,efp,tsf,greA,fusA1,
GO:0003747~translation release factor activity	prfA,prfB,BPSL1285,
GO:0003755~peptidyl-prolyl cis-trans isomerase activity	fbp,BPSS1383a,BPSS1155,ppiB,ppiA,BPSL1418,BPSL1410,tig,BPSL0918,surA,
GO:0003774~cytoskeletal motor activity	flgH,fliE,fliF,fliG,fliH,fliJ,fliN,fliM,
GO:0003796~lysozyme activity	BPSL2568,
GO:0003824~catalytic activity	wbiB,hldD,gspO,mdh,ribD,pdxJ,BPSS2338,BPSS2333,BPSS2304,BPSS2302,BPSS2295,bkdA2,BPSS2254,BPSS2211,tyrB2,BPSS2175,BPSS2171,BPSS2169,BPSS2165,BPSS2159,BPSS2157,BPSS2151,BPSS2150,BPSS2128,BPSS2126,lldA,BPSS2121,BPSS2081,BPSS2067,BPSS2066,BPSS2053,BPSS2045,BPSS2035,BPSS2033,BPSS2025,BPSS2021,wecB,BPSS2011,BPSS1984,deoC,cdd,BPSS1928,benC,fadH,catA,BPSS1884,BPSS1883,BPSS1879,BPSS1845,ilvE,mhpE,BPSS1800,BPSS1796,amn,polA,dxs,BPSS1739,BPSS1723,aceE,trpF,trpA,metZ,selA,BPSS1654,BPSS1639,poxB,BPSS1635,BPSS1634,BPSS1633,BPSS1632,BPSS1576,BPSS1571,mdlB,BPSS1485,BPSS1476,BPSS1473,BPSS1467,BPSS1464,BPSS1453,BPSS1448,BPSS1446,BPSS1420,BPSS1382,BPSS1381,folB,BPSS1356,BPSS1341,BPSS1318,BPSS1312,pcaG,pcaH,aroG,BPSS1269,BPSS1266,BPSS1257,BPSS1241,BPSS1216,BPSS1200,BPSS1199,BPSS1197,BPSS1194,BPSS1193,BPSS1174,BPSS1171,BPSS1160,BPSS1125,BPSS1121,BPSS1106,BPSS1093,BPSS1019,BPSS1009,BPSS1008,BPSS1006,BPSS1001,BPSS1000,BPSS0984,BPSS0970,BPSS0938,BPSS0913,BPSS0911,BPSS0902,ribA,BPSS0877,BPSS0869,BPSS0826,BPSS0816,tyrB1,BPSS0793,BPSS0779,BPSS0768,BPSS0763,BPSS0742,BPSS0726,BPSS0720,dadX,BPSS0710,BPSS0707,hpcH,hpcG,BPSS0693,BPSS0692,BPSS0621,BPSS0610,BPSS0609,pchF,pchE,BPSS0567,BPSS0560,BPSS0555,BPSS0550,glyA2,BPSS0509,BPSS0508,phnW,BPSS0502,BPSS0469,BPSS0468,BPSS0452,BPSS0449,cpo,BPSS0422,rfbH,BPSS0414,tyrB,BPSS0348,BPSS0331,BPSS0311,BPSS0308,BPSS0306,BPSS0303,BPSS0288,BPSS0282,gabT,BPSS0238,ltaE,BPSS0229,BPSS0214,prpB,pxpA2,BPSS0190,BPSS0144,BPSS0131,pyk,BPSS0067,pcaB,BPSS0027,BPSS0021,kbl,BPSL3429,BPSL3384,eutB,ilvG,gcvP,BPSL3337,acpA,BPSL3323,tag,cheZ,BPSL3287,BPSL3285,BPSL3242,BPSL3241,paaE,hemB,lysA,mrcA,glt1,thiG,thiE,murA,hisC2,hisA,hisF,BPSL3129,ubiX,trpC,rpe,paaG,paaF,argJ,BPSL2992,BPSL2970,BPSL2964,pyrF,maeB,speE,tktA,edd,eda,purB,purH,dusB,BPSL2890,nudJ,glcE,glcD,BPSL2842,hmpA,glnE,BPSL2825,panB,pcnB,wcbQ,wcbR,wcbT,kdsA2,glyA1,BPSL2738,BPSL2732,wbiG,BPSL2650,hemN,BPSL2629,ribB,hemL,BPSL2618,glk,BPSL2568,BPSL2567,spoT,BPSL2536,serC,pheA,aroA,BPSL2495,BPSL2493,BPSL2486,thyA,fumC,mobA,moaA,plsX,fabH,otsB,otsA,BPSL2398,BPSL2397,argM,BPSL2372,BPSL2366,BPSL2363,ubiU,BPSL2358,hutH,BPSL2336,BPSL2335,BPSL2328,glnA,BPSL2315,folD,pdhA,iscS,kdsA1,BPSL2263,dapA,BPSL2242,BPSL2229,BPSL2222,BPSL2217,BPSL2214,fpr,aceB,aceA,clsA,BPSL2168,glnD,ppsA,guaB,tadA,BPSL2118,BPSL2104,ispD,BPSL2083,BPSL2080,BPSL2078,BPSL2077,glgB,BPSL2075,glgE,BPSL2018,BPSL2010,BPSL2004,BPSL1995,BPSL1994,BPSL1978,BPSL1969,BPSL1952,relA,BPSL1876,pyrD,dusA,BPSL1778,BPSL1777,cobB,BPSL1724,argH,BPSL1715,BPSL1714,BPSL1712,BPSL1711,BPSL1676,BPSL1551,BPSL1542,rimO,rlmN,BPSL1507,BPSL1501,BPSL1476,BPSL1472,BPSL1468,gcl,BPSL1424,BPSL1394,BPSL1382,BPSL1321,BPSL1310,BPSL1239,BPSL1237,tpiA,leuA,ilvI,BPSL1183,upp,nadD,rsfS,BPSL1138,dnaE,purT,nth,tal,BPSL1086,BPSL1083,BPSL1081,BPSL1064,ppc,BPSL1003,panC,cobQ,cobC,ilvD,cysD,cysH,BPSL0936,BPSL0935,BPSL0934,BPSL0927,argD,nadC,BPSL0907,dfp,BPSL0862,kynU,BPSL0842,dalD,purE,cbbA,pykA,sucD,sucC,BPSL0767,BPSL0724,BPSL0717,BPSL0707,BPSL0684,miaB,fdhD,BPSL0651,BPSL0649,clsB,BPSL0645,BPSL0635,BPSL0634,BPSL0599,BPSL0598,BPSL0542,hprK,mutY,mutM,hisC1,coaD,BPSL0513,BPSL0500,BPSL0498,BPSL0486,BPSL0476,dnaE2,gpmA,BPSL0440,BPSL0422,BPSL0419,BPSL0409,BPSL0395,BPSL0391,BPSL0390,bioA,bioF,bioB,BPSL0361,BPSL0360,BPSL0356,plcN2,BPSL0333,BPSL0329,BPSL0328,BPSL0315,glmU,cca,pxpA1,BPSL0243,hslV,BPSL0191,gatB,gatA,BPSL0180,queE,fmt,gshA,BPSL0101,BPSL0100,BPSL0064,BPSL0063,mnmC,BPSL0001,lipA,plcN,
GO:0003825~alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	otsA,
GO:0003839~gamma-glutamylcyclotransferase activity	BPSS0819,BPSL0671,
GO:0003842~1-pyrroline-5-carboxylate dehydrogenase activity	putA,
GO:0003844~1,4-alpha-glucan branching enzyme activity	glgB,
GO:0003848~2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	BPSL2822,
GO:0003849~3-deoxy-7-phosphoheptulonate synthase activity	aroG,
GO:0003852~2-isopropylmalate synthase activity	leuA,
GO:0003855~3-dehydroquinate dehydratase activity	aroQ,
GO:0003856~3-dehydroquinate synthase activity	aroB,
GO:0003857~3-hydroxyacyl-CoA dehydrogenase activity	BPSL1424,BPSL0649,BPSL0419,BPSL0063,
GO:0003858~3-hydroxybutyrate dehydrogenase activity	BPSS0354,BPSS0017,
GO:0003860~3-hydroxyisobutyryl-CoA hydrolase activity	BPSS0622,BPSL1860,
GO:0003861~3-isopropylmalate dehydratase activity	leuC,leuD,
GO:0003862~3-isopropylmalate dehydrogenase activity	leuB,
GO:0003863~3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	bkdA1,bkdA2,
GO:0003864~3-methyl-2-oxobutanoate hydroxymethyltransferase activity	panB,
GO:0003866~3-phosphoshikimate 1-carboxyvinyltransferase activity	aroA,BPSL0684,
GO:0003867~4-aminobutyrate transaminase activity	gabT,
GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity	BPSL3239,
GO:0003871~5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	metE,
GO:0003879~ATP phosphoribosyltransferase activity	hisG,
GO:0003882~CDP-diacylglycerol-serine O-phosphatidyltransferase activity	BPSL1200,
GO:0003883~CTP synthase activity	pyrG,
GO:0003884~D-amino-acid oxidase activity	thiO,
GO:0003887~DNA-directed DNA polymerase activity	BPSS2351,BPSS2211,polA,BPSS0452,BPSL2936,BPSL2556,dinB,dnaX,BPSL1437,dnaQ,dnaE,BPSL0966,dnaE2,dnaN,
GO:0003896~DNA primase activity	dnaG,
GO:0003899~DNA-directed 5'-3' RNA polymerase activity	rpoN,dnaG,fliA,rpoB,rpoC,rpoA,rpoZ,BPSL0130,
GO:0003905~alkylbase DNA N-glycosylase activity	BPSL0101,
GO:0003906~DNA-(apurinic or apyrimidinic site) endonuclease activity	nth,mutM,
GO:0003908~methylated-DNA-[protein]-cysteine S-methyltransferase activity	BPSL0862,BPSL0100,
GO:0003910~DNA ligase (ATP) activity	BPSS2211,
GO:0003911~DNA ligase (NAD+) activity	ligA,
GO:0003916~DNA topoisomerase activity	gyrA,parC,parE,BPSL0118,gyrB,
GO:0003917~DNA topoisomerase type I (single strand cut, ATP-independent) activity	BPSL0118,
GO:0003918~DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	gyrA,parC,parE,gyrB,
GO:0003919~FMN adenylyltransferase activity	BPSL0907,
GO:0003922~GMP synthase (glutamine-hydrolyzing) activity	guaA,
GO:0003924~GTPase activity	selB,flhF,tuf1,fusA2,ftsZ,obg,ffh,ureG,rsgA,lepA,era,infB,typA,hflX,cysN,fusA1,ftsY,mnmE,
GO:0003933~GTP cyclohydrolase activity	folE2,
GO:0003934~GTP cyclohydrolase I activity	folE2,folE,
GO:0003935~GTP cyclohydrolase II activity	BPSS1121,ribA,
GO:0003937~IMP cyclohydrolase activity	purH,
GO:0003938~IMP dehydrogenase activity	guaB,
GO:0003939~L-iditol 2-dehydrogenase activity	BPSL0826,
GO:0003941~L-serine ammonia-lyase activity	sdaB,sdaA,
GO:0003942~N-acetyl-gamma-glutamyl-phosphate reductase activity	argC,
GO:0003949~1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	hisA,
